Temps;Déplacement;Charge;Contrainte de compr.
(sec);(mm);(N);(MPa)
0,001;-86,580;-4,185;0,203
0,101;-87,045;-3,025;0,147
0,201;-88,249;-6,075;0,295
0,301;-89,688;-4,264;0,207
0,401;-91,194;-4,871;0,237
0,501;-92,433;-4,367;0,212
0,544;-92,929;-4,698;0,228
