Essai : Vitesse 1;700,00000;mm/min

Temps;Déplacement;Charge;Contrainte de compr.
(sec);(mm);(N);(MPa)
0,001;-0,556;-111,011;5,395
0,101;-1,024;-218,757;10,631
0,133;-1,361;-595,095;28,920
0,233;-2,667;-314,357;15,277
0,333;-4,130;-197,519;9,599
0,433;-5,592;-140,395;6,823
0,533;-6,779;-133,350;6,480
0,633;-7,940;-135,545;6,587
0,733;-9,107;-163,279;7,935
0,833;-10,274;-187,143;9,095
0,933;-11,440;-184,493;8,966
1,033;-12,607;-159,518;7,752
1,133;-13,774;-167,897;8,159
1,233;-14,940;-156,471;7,604
1,333;-16,107;-156,865;7,623
1,433;-17,274;-163,393;7,940
1,533;-18,441;-163,754;7,958
1,633;-19,607;-166,593;8,096
1,733;-20,774;-175,619;8,535
1,833;-21,940;-183,088;8,898
1,933;-23,108;-189,454;9,207
2,033;-24,274;-193,943;9,425
2,133;-25,440;-187,055;9,090
2,233;-26,607;-202,758;9,853
2,333;-27,774;-215,725;10,484
2,433;-28,941;-201,554;9,795
2,533;-30,107;-198,364;9,640
2,633;-31,274;-231,298;11,240
2,733;-32,440;-258,252;12,550
2,833;-33,608;-277,413;13,481
2,933;-34,774;-293,523;14,264
3,033;-35,940;-304,326;14,789
3,133;-37,107;-327,182;15,900
3,233;-38,274;-314,587;15,288
3,333;-39,440;-318,930;15,499
3,433;-40,607;-355,315;17,267
3,533;-41,774;-399,542;19,417
3,633;-42,941;-433,599;21,072
3,733;-44,107;-463,684;22,534
3,833;-45,274;-461,022;22,404
3,933;-46,440;-371,470;18,052
4,033;-47,607;-360,150;17,502
4,133;-48,774;-362,562;17,619
4,233;-49,940;-368,861;17,925
4,333;-51,107;-374,177;18,184
4,433;-52,274;-382,148;18,571
4,533;-53,441;-391,922;19,046
4,633;-54,607;-412,456;20,044
4,733;-55,774;-412,711;20,057
4,833;-56,940;-421,230;20,471
4,933;-58,107;-448,386;21,790
5,033;-59,274;-471,661;22,921
5,133;-60,440;-533,821;25,942
5,233;-61,607;-532,051;25,856
5,333;-62,774;-577,459;28,063
5,433;-63,940;-543,729;26,424
5,533;-65,107;-537,580;26,125
5,633;-66,274;-561,069;27,266
5,733;-67,440;-587,525;28,552
5,833;-68,607;-633,267;30,775
5,933;-69,774;-709,205;34,465
6,033;-70,941;-748,712;36,385
6,133;-72,107;-762,403;37,050
6,233;-73,274;-786,138;38,204
6,333;-74,440;-845,336;41,081
6,433;-75,608;-926,510;45,026
6,533;-76,774;-885,582;43,037
6,633;-77,941;-980,013;47,626
6,733;-79,107;-1049,868;51,020
6,833;-80,274;-1074,124;52,199
6,933;-81,441;-1070,456;52,021
7,033;-82,608;-986,415;47,937
7,133;-83,774;-1040,434;50,562
7,233;-84,940;-1024,008;49,764
7,333;-86,107;-1057,926;51,412
7,433;-87,274;-939,938;45,678
7,533;-88,440;-949,007;46,119
7,633;-89,607;-999,467;48,571
7,733;-90,774;-1043,140;50,693
7,833;-91,940;-1179,584;57,324
7,933;-93,107;-1367,421;66,452
8,033;-94,274;-1473,888;71,626
8,133;-95,440;-1707,485;82,979
8,233;-96,607;-1916,085;93,116
8,333;-97,774;-2150,748;104,520
8,433;-98,940;-2520,257;122,477
8,524;-100,002;-2830,759;137,566
