Essai : Vitesse 1;700,00000;mm/min

Temps;Déplacement;Charge;Contrainte de compr.
(sec);(mm);(N);(MPa)
0,001;-0,565;-4,555;0,221
0,101;-1,031;-138,969;6,753
0,144;-1,496;-519,403;25,241
0,244;-2,828;-348,261;16,924
0,344;-4,303;-249,020;12,102
0,444;-5,743;-137,263;6,671
0,544;-6,915;-157,161;7,638
0,644;-8,078;-147,163;7,152
0,744;-9,245;-154,554;7,511
0,844;-10,412;-161,358;7,841
0,944;-11,579;-155,527;7,558
1,044;-12,745;-186,092;9,043
1,144;-13,912;-184,398;8,961
1,244;-15,079;-195,434;9,497
1,344;-16,245;-169,053;8,215
1,444;-17,411;-177,144;8,609
1,544;-18,579;-182,219;8,855
1,644;-19,745;-195,535;9,502
1,744;-20,911;-213,947;10,397
1,844;-22,079;-233,570;11,351
1,944;-23,245;-250,630;12,180
2,044;-24,412;-213,333;10,367
2,144;-25,579;-186,777;9,077
2,244;-26,745;-207,611;10,089
2,344;-27,911;-230,932;11,223
2,444;-29,079;-236,474;11,492
2,544;-30,245;-263,619;12,811
2,644;-31,412;-284,984;13,849
2,744;-32,579;-307,119;14,925
2,844;-33,745;-298,350;14,499
2,944;-34,912;-306,894;14,914
3,044;-36,079;-321,652;15,631
3,144;-37,245;-325,402;15,814
3,244;-38,412;-298,164;14,490
3,344;-39,579;-290,243;14,105
3,444;-40,745;-305,842;14,863
3,544;-41,912;-330,009;16,037
3,644;-43,079;-342,540;16,646
3,744;-44,245;-336,393;16,348
3,844;-45,411;-248,301;12,067
3,944;-46,579;-227,183;11,040
4,044;-47,745;-222,886;10,832
4,144;-48,912;-227,402;11,051
4,244;-50,079;-265,376;12,896
4,344;-51,245;-287,760;13,984
4,444;-52,412;-308,529;14,994
4,544;-53,579;-370,585;18,009
4,644;-54,745;-408,966;19,874
4,744;-55,912;-459,736;22,342
4,844;-57,079;-501,108;24,352
4,944;-58,245;-560,257;27,227
5,044;-59,412;-562,854;27,353
5,144;-60,579;-553,139;26,881
5,244;-61,745;-513,185;24,939
5,344;-62,912;-477,808;23,220
5,444;-64,079;-499,204;24,260
5,544;-65,245;-538,427;26,166
5,644;-66,412;-556,085;27,024
5,744;-67,579;-589,697;28,657
5,844;-68,745;-632,760;30,750
5,944;-69,912;-662,105;32,176
6,044;-71,079;-683,353;33,209
6,144;-72,245;-713,058;34,652
6,244;-73,412;-735,656;35,751
6,344;-74,579;-758,916;36,881
6,444;-75,745;-791,922;38,485
6,544;-76,912;-782,880;38,046
6,644;-78,079;-802,423;38,995
6,744;-79,245;-760,269;36,947
6,844;-80,412;-790,588;38,420
6,944;-81,579;-869,737;42,267
7,044;-82,745;-980,197;47,635
7,144;-83,912;-1001,372;48,664
7,244;-85,079;-1008,384;49,004
7,344;-86,245;-1085,281;52,741
7,444;-87,412;-1185,344;57,604
7,544;-88,579;-1280,282;62,218
7,644;-89,745;-1388,256;67,465
7,744;-90,912;-1487,321;72,279
7,844;-92,079;-1524,614;74,092
7,944;-93,245;-1575,057;76,543
8,044;-94,412;-1640,312;79,714
8,144;-95,579;-1680,569;81,671
8,244;-96,745;-1776,738;86,344
8,344;-97,912;-2123,691;103,205
8,444;-99,079;-2195,863;106,712
8,524;-100,012;-2284,426;111,016
